Tweet,Suicide,Cleaned_Tweet
making some lunch,Not Suicide post,making lunch
@Alexia You want his money.,Not Suicide post,want money
@dizzyhrvy that crap took me forever to put together. iâm going to go sleep for DAYS,Potential Suicide post ,crap took forever put together im going go sleep day
@jnaylor #kiwitweets Hey Jer! Since when did you start twittering?,Not Suicide post,hey jer since start twittering
Trying out &quot;Delicious Library 2&quot; with mixed results The bar code thought I wanted to add a sport bra instead of a drill Cool app tho!,Not Suicide post,trying quotdelicious library quot mixed result bar code thought wanted add sport bra instead drill cool app tho
"@ValenValdez Oh, that's good to hear. But is it over already? Or you'll continue it after the Holy week?",Not Suicide post,oh thats good hear already youll continue holy week
@mcm180 u've got a list for fellow #hotties? You gonna have to share that one Amigo!,Not Suicide post,uve got list fellow gon na share one amigo
"@jakepaul @jamescharles @LoganPaul Just because shane made a Series on you Doesnt mean people take you seriously, yâ¦ https://t.co/D5rA0nua0U",Potential Suicide post ,shane made series doesnt mean people take seriously
time for some warsaw beer garden chilling,Not Suicide post,time warsaw beer garden chilling
I hate my life lmao I hope I die soon or sumn I'm too tired of everything,Potential Suicide post ,hate life lmao hope die soon sumn im tired everything
"Everything your lover does for you is for her survival, everything your mother does for you is for your survival.",Not Suicide post,everything lover survival everything mother survival
"There is a stray cat on campus that looks like Garfield. The students are always feeding him, so he is very fat. Like me.",Not Suicide post,stray cat campus look like garfield student always feeding fat like
is on the go...,Not Suicide post,go
I have an awful habit of avoiding writing papers by watching Instagram live videos of the kids I used to nanny forâ¦ https://t.co/NpfZu06gwy,Potential Suicide post ,awful habit avoiding writing paper watching instagram live video kid used nanny
@rivensky Haha. Well I have more but I don't have to do anything but file the rest away or delete them.,Not Suicide post,haha well dont anything file rest away delete
@Turbizzle Goooooood hwo're you?,Not Suicide post,goooooood hwore
"@AkwesiQuan,,RT @animeesay: I want to say ill never be active again. Not quite sure, i dont have any reason to be on here anymore anyways bye everyone tâ¦",Potential Suicide post ,rt want say ill never active quite sure dont reason anymore anyways bye everyone
Focus on opportunities more than you focus on money.,Not Suicide post,focus opportunity focus money
SOMEBODY PLEASE FUCKING KILL ME IM SO IN LOVE https://t.co/WbVmmKzDDh,Potential Suicide post ,somebody please fucking kill im love
Iâm at the point of the semester where Iâm so tired of everything. I just want to roll over and die.,Potential Suicide post ,im point semester im tired everything want roll die
"@sadegsi,ger/rus/eng,I want to die so much, I dont want to be here anymore",Potential Suicide post ,gerrusengi want die much dont want anymore
"And I hate the fact if it's true Dojae will do surgery, Dojae has to endure the pain alone :'( without Segye ð­ð­ð­ð­ aâ¦ https://t.co/B4hM6MjQRe",Potential Suicide post ,hate fact true dojae surgery dojae endure pain alone without segye
"RT @Soulwhisperer3: When you're tired of living your life, all you can do is close your eyes and go to sleep...",Potential Suicide post ,rt youre tired living life close eye go sleep
i am going to kill myself right now i am sorry you are feeling so desperate,Potential Suicide post ,going kill right sorry feeling desperate
"@earlydetection enjoy I just can't get into it this season, but happy to know that you're getting your groove on.",Not Suicide post,enjoy cant get season happy know youre getting groove
@JohnsHopkins Bloodstain on the carpet? Ready to gooo! http://short.to/3uqb,Not Suicide post,bloodstain carpet ready gooo
Really fuckin want this portion of my life to be over.,Potential Suicide post ,really fuckin want portion life
I'm VERY VERY hungry! Don't anyone on my timeline dare to talk about food :@ Or I'll seriously eat you up!,Not Suicide post,im hungry dont anyone timeline dare talk food ill seriously eat
Mom always used to want everyone home before dark – as though anything was out there at night that wasn't there during the day.,Not Suicide post,mom always used want everyone home dark though anything night wasnt day
@gailia I think you'll do whatever you want.,Not Suicide post,think youll whatever want
@domselinakyle that sounds so terrible that's how i was when my dad still lived w me but i hope it gets better forâ¦ https://t.co/oAh2tUnbXt,Potential Suicide post ,sound terrible thats dad still lived w hope get better
"@garry1bowie No, just one shortly before the soap awards judging starts....",Not Suicide post,one shortly soap award judging start
